"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Perturbation1","Perturbation2","Category"
"Igfri+Meki...87",-0.675960027395832,3.26506201416876,-0.392169809114074,-0.325956197871262,-2.472503220534,-0.132984126902945,-0.0184584502496404,"XO","Igfri","Meki","Sim_Final"
"Jaki+Meki...88",-1.08447590872953,2.63364710950249,-0.385727542019595,-0.320601637578793,-3.37379175672418,-1.85837203271127,-0.257945579746965,"XO","Jaki","Meki","Sim_Final"
"Pi3ki...89",-1.64574269776857,-0.0498057130236607,-0.954805866437483,-0.793597270101456,-0.218934552238622,-0.323773073702021,-0.044940319662839,"XO","Pi3ki",NA,"Sim_Final"
"Activin+Pi3ki...90",-1.64574269776857,-0.190088481716946,-0.954805866437483,-0.793597270101456,-0.835585600604663,-0.323773073702021,1.3528043530222,"XO","Activin","Pi3ki","Sim_Final"
"Bmp4ri+Pi3ki...91",-1.64574271363262,-0.249747451354065,-0.954805875641281,-0.793597277751292,-1.09783282108548,-0.323773076823013,-0.587033044954744,"XO","Bmp4ri","Pi3ki","Sim_Final"
"Fgf4+Pi3ki...92",-1.64574267393279,0.250607519414383,-0.954805852608743,-0.793597258607548,1.10161348407069,-0.323773069012718,-0.0449403190119549,"XO","Fgf4","Pi3ki","Sim_Final"
"Fgfri+Pi3ki...93",-1.6457427481263,-0.684486922448882,-0.95480589565338,-0.793597294384565,-3.00884835858783,-0.323773083609083,-0.044940321037958,"XO","Fgfri","Pi3ki","Sim_Final"
"Gsk3i+Pi3ki...94",-1.64757578038469,-0.0534927382750266,-0.95237560919489,-0.791577335388903,-0.235141874119885,-0.347741398337482,-0.048267168800058,"XO","Gsk3i","Pi3ki","Sim_Final"
"Jaki+Pi3ki...95",-2.02179559753673,-0.295762203954395,-0.947304478004576,-0.787362409600925,-1.30010317613769,-1.92266774323072,-0.266869946899103,"XO","Jaki","Pi3ki","Sim_Final"
"Meki+Pi3ki...96",-1.64574269776857,3.19524178171611,-0.954805866437483,-0.793597270101456,-2.5721653834615,-0.323773073702021,-0.044940319662839,"XO","Meki","Pi3ki","Sim_Final"
"NoLif...97",-0.365473681304978,-0.237863433617946,0.00616114990303851,0.00512090668439295,-1.04559339022707,-1.54628395716798,-0.214627160097331,"XO","NoLif",NA,"Sim_Final"
"Activin+NoLif...98",-0.365473681304978,-0.378146202311232,0.00616114990303851,0.00512090668439295,-1.66224443859312,-1.54628395716798,1.1831175125877,"XO","Activin","NoLif","Sim_Final"
"NoLif+Bmp4ri...99",-0.417809100836601,-0.37627579096081,-0.0242021417943901,-0.0201158731149186,-1.65402253699496,-1.5565800986415,-0.587033056607305,"XO","NoLif","Bmp4ri","Sim_Final"
"Fgf4+NoLif...100",-0.250568882931671,0.0660272040265279,0.0728251404025291,0.0605294067094908,0.290240526066732,-1.52367830939395,-0.211489453105411,"XO","Fgf4","NoLif","Sim_Final"
"NoLif+Fgfri...101",-0.584059699307279,-0.815961522916858,-0.12065527929503,-0.100283946336785,-3.58678070884921,-1.58928719638201,-0.220596091653989,"XO","NoLif","Fgfri","Sim_Final"
"NoLif+Gsk3i...102",-0.981905599664898,-0.269193173138013,-0.339278899147296,-0.281995343378999,-1.18331177788112,-1.74994987111398,-0.2428963770909,"XO","NoLif","Gsk3i","Sim_Final"
"NoLif+Igfri...103",-0.911702148392471,-0.254394145444285,-0.310742668353266,-0.258277145101035,-1.1182586282524,-1.65374551235049,-0.229543028752339,"XO","NoLif","Igfri","Sim_Final"
"NoLif+Jaki...104",-0.837713011006401,-0.362347377664618,-0.161805436006748,-0.134486346194793,-1.59279640964391,-2.3555194192001,-0.326950584434028,"XO","NoLif","Jaki","Sim_Final"
"NoLif+Meki...105",-0.365473681304978,2.74785740493998,0.00616114990303851,0.00512090668439295,-3.21076673271542,-1.54628395716798,-0.214627160097331,"XO","NoLif","Meki","Sim_Final"
"NoLif+Pi3ki...106",-1.76022289131409,-0.280073238946495,-0.803026537656743,-0.667444231863799,-1.23113806509791,-1.82067814975982,-0.252713596957898,"XO","NoLif","Pi3ki","Sim_Final"
