"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"26(1,B4)","Unknown16","NaN","NaN","32.69","NaN","85.7","NaN","NaN","NaN","NaN","NaN","NaN","3511.76","NaN","NaN","NaN","NaN","NaN","NaN","31.78","NaN","75.41","NaN","67.27","NaN","NaN","NaN","63.66","NaN","NaN","NaN","1831.38","NaN","21.55","NaN","23.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","49.43","NaN","NaN","NaN","3722"
"27(1,C4)","Unknown28","NaN","NaN","29.47","NaN","127.42","NaN","NaN","NaN","NaN","NaN","NaN","7374.56","NaN","NaN","NaN","NaN","NaN","NaN","23.05","NaN","28.66","NaN","47.21","NaN","NaN","NaN","72.9","NaN","NaN","NaN","1578.15","NaN","25.58","NaN","17.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","91.85","NaN","NaN","NaN","3773"
"28(1,D4)","Unknown40","NaN","NaN","42.1","NaN","61.57","NaN","NaN","NaN","NaN","NaN","NaN","7328.57","NaN","NaN","NaN","NaN","NaN","NaN","22.04","NaN","28.67","NaN","26","NaN","NaN","NaN","50.88","NaN","NaN","NaN","53.62","NaN","21.87","NaN","19.57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","31.53","NaN","NaN","NaN","3676"
"29(1,E4)","Unknown50","NaN","NaN","26.44","NaN","122.04","NaN","NaN","NaN","NaN","NaN","NaN","11205.14","NaN","NaN","NaN","NaN","NaN","NaN","22.44","NaN","425.69","NaN","51.58","NaN","NaN","NaN","70.55","NaN","NaN","NaN","42.73","NaN","22.98","NaN","18.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","202.24","NaN","NaN","NaN","3888"
"30(1,F4)","Unknown56","NaN","NaN","34.02","NaN","75.91","NaN","NaN","NaN","NaN","NaN","NaN","3809.63","NaN","NaN","NaN","NaN","NaN","NaN","32.16","NaN","26.43","NaN","25.84","NaN","NaN","NaN","40.25","NaN","NaN","NaN","49.77","NaN","137.1","NaN","19.16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","38.01","NaN","NaN","NaN","3931"
"31(1,G4)","Unknown65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","15.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","14.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","75"
"32(1,H4)","Unknown69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64"
"33(1,A5)","Unknown5","NaN","NaN","23.35","NaN","96.93","NaN","NaN","NaN","NaN","NaN","NaN","4159.05","NaN","NaN","NaN","NaN","NaN","NaN","20.41","NaN","24.42","NaN","19.54","NaN","NaN","NaN","54.52","NaN","NaN","NaN","39.81","NaN","18.34","NaN","19.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1190.06","NaN","NaN","NaN","3362"
"34(1,B5)","Unknown17","NaN","NaN","394.9","NaN","801.64","NaN","NaN","NaN","NaN","NaN","NaN","3114.78","NaN","NaN","NaN","NaN","NaN","NaN","22.49","NaN","31.73","NaN","22.48","NaN","NaN","NaN","66.89","NaN","NaN","NaN","178.12","NaN","31.23","NaN","22.37","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","236.28","NaN","NaN","NaN","4111"
"35(1,C5)","Unknown29","NaN","NaN","24.9","NaN","88.66","NaN","NaN","NaN","NaN","NaN","NaN","6949.42","NaN","NaN","NaN","NaN","NaN","NaN","21.6","NaN","25.57","NaN","40.35","NaN","NaN","NaN","52.21","NaN","NaN","NaN","43.8","NaN","30.6","NaN","33.67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","45.09","NaN","NaN","NaN","3939"
"36(1,D5)","Unknown41","NaN","NaN","35.76","NaN","112.99","NaN","NaN","NaN","NaN","NaN","NaN","1584.22","NaN","NaN","NaN","NaN","NaN","NaN","19.27","NaN","25.12","NaN","21.97","NaN","NaN","NaN","77.16","NaN","NaN","NaN","49.93","NaN","21.19","NaN","14.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64.4","NaN","NaN","NaN","3853"
"37(1,E5)","Unknown51","NaN","NaN","25.18","NaN","136.38","NaN","NaN","NaN","NaN","NaN","NaN","4746.89","NaN","NaN","NaN","NaN","NaN","NaN","21.32","NaN","60.96","NaN","48.98","NaN","NaN","NaN","52.05","NaN","NaN","NaN","47.87","NaN","25.55","NaN","17.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","113.34","NaN","NaN","NaN","4055"
"38(1,F5)","Unknown57","NaN","NaN","24.98","NaN","58.06","NaN","NaN","NaN","NaN","NaN","NaN","4832.47","NaN","NaN","NaN","NaN","NaN","NaN","22.88","NaN","45.38","NaN","37.95","NaN","NaN","NaN","39.2","NaN","NaN","NaN","43.3","NaN","34.45","NaN","15.68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","66.92","NaN","NaN","NaN","3659"
"41(1,A6)","Unknown6","NaN","NaN","24.93","NaN","72.5","NaN","NaN","NaN","NaN","NaN","NaN","2913.65","NaN","NaN","NaN","NaN","NaN","NaN","24.71","NaN","47.34","NaN","41.33","NaN","NaN","NaN","64.34","NaN","NaN","NaN","45.99","NaN","23.86","NaN","17.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34.23","NaN","NaN","NaN","3836"
"42(1,B6)","Unknown18","NaN","NaN","30.22","NaN","75.59","NaN","NaN","NaN","NaN","NaN","NaN","8677.41","NaN","NaN","NaN","NaN","NaN","NaN","29.2","NaN","37.53","NaN","22.66","NaN","NaN","NaN","66.2","NaN","NaN","NaN","50.33","NaN","22.28","NaN","27.99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","494.41","NaN","NaN","NaN","3810"
"43(1,C6)","Unknown30","NaN","NaN","27.05","NaN","48.5","NaN","NaN","NaN","NaN","NaN","NaN","2712.15","NaN","NaN","NaN","NaN","NaN","NaN","20.46","NaN","26.03","NaN","54.78","NaN","NaN","NaN","41.3","NaN","NaN","NaN","41.33","NaN","29.17","NaN","18.96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","21.1","NaN","NaN","NaN","3445"
"44(1,D6)","Unknown42","NaN","NaN","31.01","NaN","181.12","NaN","NaN","NaN","NaN","NaN","NaN","9021.74","NaN","NaN","NaN","NaN","NaN","NaN","42.43","NaN","187.02","NaN","40.13","NaN","NaN","NaN","85.98","NaN","NaN","NaN","47.33","NaN","40.71","NaN","16.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","85.4","NaN","NaN","NaN","3815"
"45(1,E6)","Unknown52","NaN","NaN","27.75","NaN","125.53","NaN","NaN","NaN","NaN","NaN","NaN","6834.7","NaN","NaN","NaN","NaN","NaN","NaN","22.3","NaN","28.16","NaN","49.54","NaN","NaN","NaN","62.3","NaN","NaN","NaN","43.2","NaN","23.12","NaN","19.79","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","83.23","NaN","NaN","NaN","3779"
"46(1,F6)","Unknown58","NaN","NaN","30.74","NaN","39.02","NaN","NaN","NaN","NaN","NaN","NaN","4380.16","NaN","NaN","NaN","NaN","NaN","NaN","55.22","NaN","28.4","NaN","28.56","NaN","NaN","NaN","35.49","NaN","NaN","NaN","41.08","NaN","38.3","NaN","131.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","45.32","NaN","NaN","NaN","3923"
"49(1,A7)","Unknown7","NaN","NaN","25.51","NaN","105.19","NaN","NaN","NaN","NaN","NaN","NaN","3160.06","NaN","NaN","NaN","NaN","NaN","NaN","26.82","NaN","28.14","NaN","81.15","NaN","NaN","NaN","53.94","NaN","NaN","NaN","83.73","NaN","32.65","NaN","16.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","103.27","NaN","NaN","NaN","3550"
"50(1,B7)","Unknown19","NaN","NaN","27.61","NaN","85.06","NaN","NaN","NaN","NaN","NaN","NaN","1246.73","NaN","NaN","NaN","NaN","NaN","NaN","22.46","NaN","37.84","NaN","48.37","NaN","NaN","NaN","51.04","NaN","NaN","NaN","47","NaN","18.82","NaN","14.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","47.06","NaN","NaN","NaN","3683"
"51(1,C7)","Unknown31","NaN","NaN","25.04","NaN","105.87","NaN","NaN","NaN","NaN","NaN","NaN","837.04","NaN","NaN","NaN","NaN","NaN","NaN","30.41","NaN","133.06","NaN","24.79","NaN","NaN","NaN","71.22","NaN","NaN","NaN","54.16","NaN","44.13","NaN","17.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","68.28","NaN","NaN","NaN","4352"
"52(1,D7)","Unknown43","NaN","NaN","28.38","NaN","107.25","NaN","NaN","NaN","NaN","NaN","NaN","3516.65","NaN","NaN","NaN","NaN","NaN","NaN","29.22","NaN","42.41","NaN","24.85","NaN","NaN","NaN","63.69","NaN","NaN","NaN","97.6","NaN","215.18","NaN","18.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","65.91","NaN","NaN","NaN","3816"
"54(1,F7)","Unknown59","NaN","NaN","24.86","NaN","49.07","NaN","NaN","NaN","NaN","NaN","NaN","4555.56","NaN","NaN","NaN","NaN","NaN","NaN","234.22","NaN","35.06","NaN","30.42","NaN","NaN","NaN","41.09","NaN","NaN","NaN","50.72","NaN","63.84","NaN","13.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","22.5","NaN","NaN","NaN","3504"
"55(1,G7)","Unknown66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","26.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","74"
"56(1,H7)","Unknown70","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.81","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","70"
"57(1,A8)","Unknown8","NaN","NaN","44.97","NaN","107.38","NaN","NaN","NaN","NaN","NaN","NaN","2169.17","NaN","NaN","NaN","NaN","NaN","NaN","24.21","NaN","43.46","NaN","34.05","NaN","NaN","NaN","47.36","NaN","NaN","NaN","43.19","NaN","19.6","NaN","14.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","40.19","NaN","NaN","NaN","3597"
"58(1,B8)","Unknown20","NaN","NaN","24.81","NaN","100.48","NaN","NaN","NaN","NaN","NaN","NaN","2336.42","NaN","NaN","NaN","NaN","NaN","NaN","24.58","NaN","81.95","NaN","24.66","NaN","NaN","NaN","62.3","NaN","NaN","NaN","52.72","NaN","19.98","NaN","14.99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50.17","NaN","NaN","NaN","3651"
"59(1,C8)","Unknown32","NaN","NaN","38.43","NaN","102.6","NaN","NaN","NaN","NaN","NaN","NaN","3834.34","NaN","NaN","NaN","NaN","NaN","NaN","26.78","NaN","89.36","NaN","21.78","NaN","NaN","NaN","380.33","NaN","NaN","NaN","40.9","NaN","44.05","NaN","14.56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50.37","NaN","NaN","NaN","3692"
"60(1,D8)","Unknown44","NaN","NaN","26.18","NaN","51.59","NaN","NaN","NaN","NaN","NaN","NaN","5306.52","NaN","NaN","NaN","NaN","NaN","NaN","20.92","NaN","27.83","NaN","22.69","NaN","NaN","NaN","41.94","NaN","NaN","NaN","58.45","NaN","21.64","NaN","18.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95.58","NaN","NaN","NaN","3984"
"62(1,F8)","Unknown60","NaN","NaN","28.16","NaN","34.29","NaN","NaN","NaN","NaN","NaN","NaN","3996.61","NaN","NaN","NaN","NaN","NaN","NaN","30.43","NaN","46.95","NaN","27.52","NaN","NaN","NaN","42.26","NaN","NaN","NaN","50.17","NaN","32.66","NaN","22.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","30.63","NaN","NaN","NaN","3902"
"65(1,A9)","Unknown9","NaN","NaN","30.12","NaN","123.12","NaN","NaN","NaN","NaN","NaN","NaN","2162.38","NaN","NaN","NaN","NaN","NaN","NaN","20.55","NaN","22.58","NaN","28.68","NaN","NaN","NaN","55.77","NaN","NaN","NaN","42.25","NaN","20.63","NaN","16.53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","137.56","NaN","NaN","NaN","3420"
"66(1,B9)","Unknown21","NaN","NaN","26.15","NaN","80.07","NaN","NaN","NaN","NaN","NaN","NaN","2541.47","NaN","NaN","NaN","NaN","NaN","NaN","267.45","NaN","34.66","NaN","27.71","NaN","NaN","NaN","59.45","NaN","NaN","NaN","49.59","NaN","20.21","NaN","16.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","37.56","NaN","NaN","NaN","4101"
"67(1,C9)","Unknown33","NaN","NaN","28.73","NaN","98.42","NaN","NaN","NaN","NaN","NaN","NaN","4048.02","NaN","NaN","NaN","NaN","NaN","NaN","20.98","NaN","49.27","NaN","22.6","NaN","NaN","NaN","52.19","NaN","NaN","NaN","46.21","NaN","23.85","NaN","1118.85","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","239.82","NaN","NaN","NaN","3811"
"68(1,D9)","Unknown45","NaN","NaN","29.29","NaN","118.44","NaN","NaN","NaN","NaN","NaN","NaN","6038.05","NaN","NaN","NaN","NaN","NaN","NaN","23.65","NaN","37.87","NaN","36.5","NaN","NaN","NaN","61.55","NaN","NaN","NaN","60.64","NaN","40.89","NaN","19.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","90.42","NaN","NaN","NaN","3692"
"70(1,F9)","Unknown61","NaN","NaN","39.34","NaN","84.59","NaN","NaN","NaN","NaN","NaN","NaN","6968.09","NaN","NaN","NaN","NaN","NaN","NaN","40.78","NaN","38.47","NaN","23.73","NaN","NaN","NaN","47.21","NaN","NaN","NaN","44.98","NaN","20.87","NaN","20.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44.42","NaN","NaN","NaN","3623"
"73(1,A10)","Unknown10","NaN","NaN","38.71","NaN","92.02","NaN","NaN","NaN","NaN","NaN","NaN","5846.66","NaN","NaN","NaN","NaN","NaN","NaN","24.64","NaN","33.59","NaN","82.19","NaN","NaN","NaN","55.73","NaN","NaN","NaN","48.15","NaN","25.72","NaN","20.36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","580.76","NaN","NaN","NaN","4211"
"74(1,B10)","Unknown22","NaN","NaN","28.17","NaN","111.49","NaN","NaN","NaN","NaN","NaN","NaN","3551.52","NaN","NaN","NaN","NaN","NaN","NaN","46.1","NaN","31.61","NaN","94.57","NaN","NaN","NaN","63.23","NaN","NaN","NaN","54.32","NaN","25.12","NaN","19.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","135.89","NaN","NaN","NaN","3757"
"75(1,C10)","Unknown34","NaN","NaN","32.56","NaN","60.95","NaN","NaN","NaN","NaN","NaN","NaN","3706.26","NaN","NaN","NaN","NaN","NaN","NaN","29.85","NaN","51.59","NaN","27.1","NaN","NaN","NaN","43.3","NaN","NaN","NaN","320.5","NaN","34.56","NaN","23.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","37.36","NaN","NaN","NaN","4040"
"76(1,D10)","Unknown46","NaN","NaN","47.89","NaN","51.11","NaN","NaN","NaN","NaN","NaN","NaN","3800.38","NaN","NaN","NaN","NaN","NaN","NaN","24.53","NaN","23.33","NaN","27.65","NaN","NaN","NaN","41.86","NaN","NaN","NaN","46.82","NaN","24.86","NaN","19.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","29.69","NaN","NaN","NaN","3793"
"78(1,F10)","Unknown62","NaN","NaN","29.99","NaN","69.15","NaN","NaN","NaN","NaN","NaN","NaN","4261.18","NaN","NaN","NaN","NaN","NaN","NaN","31.56","NaN","36.43","NaN","28.24","NaN","NaN","NaN","188.82","NaN","NaN","NaN","91.9","NaN","21.77","NaN","19.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41.18","NaN","NaN","NaN","3591"
"79(1,G10)","Unknown67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5.72","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","7.55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77"
"80(1,H10)","Unknown71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.83","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4.27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","72"
"81(1,A11)","Unknown11","NaN","NaN","28.62","NaN","100.61","NaN","NaN","NaN","NaN","NaN","NaN","5063.17","NaN","NaN","NaN","NaN","NaN","NaN","304.12","NaN","89.61","NaN","214.2","NaN","NaN","NaN","51.78","NaN","NaN","NaN","45.74","NaN","28.78","NaN","21.61","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","394.67","NaN","NaN","NaN","4056"
"82(1,B11)","Unknown23","NaN","NaN","29.23","NaN","115.42","NaN","NaN","NaN","NaN","NaN","NaN","7253.32","NaN","NaN","NaN","NaN","NaN","NaN","22.77","NaN","45.54","NaN","40.11","NaN","NaN","NaN","96.86","NaN","NaN","NaN","56.6","NaN","24.09","NaN","17.34","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","82.61","NaN","NaN","NaN","4137"
"83(1,C11)","Unknown35","NaN","NaN","23.1","NaN","135.83","NaN","NaN","NaN","NaN","NaN","NaN","2144.48","NaN","NaN","NaN","NaN","NaN","NaN","119.02","NaN","157.35","NaN","29.7","NaN","NaN","NaN","74.49","NaN","NaN","NaN","51.19","NaN","20.77","NaN","18.16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","180.69","NaN","NaN","NaN","3933"
"89(1,A12)","Unknown12","NaN","NaN","44.04","NaN","68.81","NaN","NaN","NaN","NaN","NaN","NaN","2642.14","NaN","NaN","NaN","NaN","NaN","NaN","115.76","NaN","50.86","NaN","36.08","NaN","NaN","NaN","67.34","NaN","NaN","NaN","46.03","NaN","23.53","NaN","32.53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","43.19","NaN","NaN","NaN","3981"
"90(1,B12)","Unknown24","NaN","NaN","30.6","NaN","83.93","NaN","NaN","NaN","NaN","NaN","NaN","7797.54","NaN","NaN","NaN","NaN","NaN","NaN","25.6","NaN","127.95","NaN","43.13","NaN","NaN","NaN","74.16","NaN","NaN","NaN","42.4","NaN","32.51","NaN","21.78","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","52.36","NaN","NaN","NaN","4077"
"91(1,C12)","Unknown36","NaN","NaN","51.9","NaN","125.45","NaN","NaN","NaN","NaN","NaN","NaN","7822.98","NaN","NaN","NaN","NaN","NaN","NaN","38.47","NaN","28.19","NaN","44.59","NaN","NaN","NaN","63.48","NaN","NaN","NaN","48.11","NaN","58.47","NaN","16.92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","82.93","NaN","NaN","NaN","3819"
"94(1,F12)","Unknown63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3.91","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","7.94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95"

"DataType:","Trimmed Count"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","NaN","358","NaN","365","NaN","NaN","NaN","NaN","NaN","NaN","267","NaN","NaN","NaN","NaN","NaN","NaN","304","NaN","333","NaN","313","NaN","NaN","NaN","313","NaN","NaN","NaN","328","NaN","368","NaN","321","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","294","NaN","NaN","NaN","3960"
"2(1,B1)","Unknown13","NaN","NaN","332","NaN","350","NaN","NaN","NaN","NaN","NaN","NaN","305","NaN","NaN","NaN","NaN","NaN","NaN","296","NaN","321","NaN","379","NaN","NaN","NaN","344","NaN","NaN","NaN","346","NaN","386","NaN","352","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","300","NaN","NaN","NaN","4123"
"3(1,C1)","Unknown25","NaN","NaN","351","NaN","355","NaN","NaN","NaN","NaN","NaN","NaN","274","NaN","NaN","NaN","NaN","NaN","NaN","294","NaN","303","NaN","354","NaN","NaN","NaN","358","NaN","NaN","NaN","318","NaN","368","NaN","342","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","311","NaN","NaN","NaN","4035"
"4(1,D1)","Unknown37","NaN","NaN","409","NaN","363","NaN","NaN","NaN","NaN","NaN","NaN","351","NaN","NaN","NaN","NaN","NaN","NaN","341","NaN","338","NaN","391","NaN","NaN","NaN","387","NaN","NaN","NaN","387","NaN","476","NaN","360","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","327","NaN","NaN","NaN","4595"
"5(1,E1)","Unknown47","NaN","NaN","351","NaN","328","NaN","NaN","NaN","NaN","NaN","NaN","297","NaN","NaN","NaN","NaN","NaN","NaN","285","NaN","321","NaN","347","NaN","NaN","NaN","366","NaN","NaN","NaN","313","NaN","394","NaN","320","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","282","NaN","NaN","NaN","4006"
"6(1,F1)","Unknown53","NaN","NaN","331","NaN","317","NaN","NaN","NaN","NaN","NaN","NaN","251","NaN","NaN","NaN","NaN","NaN","NaN","259","NaN","288","NaN","282","NaN","NaN","NaN","323","NaN","NaN","NaN","272","NaN","375","NaN","301","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","279","NaN","NaN","NaN","3645"
"7(1,G1)","Unknown64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58"
"8(1,H1)","Unknown68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","9","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44"
"9(1,A2)","Unknown2","NaN","NaN","254","NaN","292","NaN","NaN","NaN","NaN","NaN","NaN","224","NaN","NaN","NaN","NaN","NaN","NaN","243","NaN","251","NaN","264","NaN","NaN","NaN","297","NaN","NaN","NaN","254","NaN","291","NaN","268","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","240","NaN","NaN","NaN","3196"
"10(1,B2)","Unknown14","NaN","NaN","260","NaN","264","NaN","NaN","NaN","NaN","NaN","NaN","201","NaN","NaN","NaN","NaN","NaN","NaN","219","NaN","238","NaN","218","NaN","NaN","NaN","250","NaN","NaN","NaN","240","NaN","313","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","218","NaN","NaN","NaN","2940"
"11(1,C2)","Unknown26","NaN","NaN","342","NaN","324","NaN","NaN","NaN","NaN","NaN","NaN","268","NaN","NaN","NaN","NaN","NaN","NaN","249","NaN","293","NaN","367","NaN","NaN","NaN","325","NaN","NaN","NaN","292","NaN","384","NaN","369","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","243","NaN","NaN","NaN","3839"
